"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Compra","Flujo de validar la existencia de los medios de pagos en TMG","0","0","1","0","0"
"","Compra","Flujo de continuar comprando en TMG","0","0","1","0","0"
"","Compra","Flujo de compra en Koko","0","0","1","0","0"
"","Compra","Flujo de validar la existencia de los medios de pagos en KOKO","0","0","1","0","0"
"","Compra","Flujo de Eliminar item de carrito en KOKO","0","0","1","0","0"
"","Compra","Flujo de Agregar dos items al carrito en KOKO","0","0","1","0","0"
"","Compra","Flujo de continuar comprando en KOKO","0","0","1","0","0"
"","Compra","Flujo de Agregar dos items al carrito en TMG","0","0","1","0","0"
"","Compra","Flujo de compra en TMG","0","0","1","0","0"
"","Compra","Flujo de Eliminar item de carrito en TMG","0","0","1","0","0"
"","","","0","0","72","0","0"
