"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 04 12:31:36 UTC 2025","Fri Jul 04 12:32:14 UTC 2025","37574","tests","test_grupo1_compras","","","","test_AgregardosItemsalCarritoKOKO",""
"passed","Fri Jul 04 12:27:56 UTC 2025","Fri Jul 04 12:29:39 UTC 2025","103373","tests","test_grupo1_compras","","","","test_PruebadeCompraKOKO",""
"passed","Fri Jul 04 12:29:41 UTC 2025","Fri Jul 04 12:30:18 UTC 2025","37323","tests","test_grupo1_compras","","","","test_EliminarItemdeCarritoTMG",""
"passed","Fri Jul 04 12:33:09 UTC 2025","Fri Jul 04 12:34:43 UTC 2025","94495","tests","test_grupo1_compras","","","","test_de_mediosdepagotmg",""
"passed","Fri Jul 04 12:34:45 UTC 2025","Fri Jul 04 12:36:14 UTC 2025","89616","tests","test_grupo1_compras","","","","test_de_mediosdepagokoko",""
"passed","Fri Jul 04 12:32:15 UTC 2025","Fri Jul 04 12:32:36 UTC 2025","21216","tests","test_grupo1_compras","","","","test_ContinuarComprandoTMG",""
"passed","Fri Jul 04 12:31:02 UTC 2025","Fri Jul 04 12:31:35 UTC 2025","33153","tests","test_grupo1_compras","","","","test_AgregardosItemsalCarritoTMG",""
"passed","Fri Jul 04 12:32:37 UTC 2025","Fri Jul 04 12:33:08 UTC 2025","30656","tests","test_grupo1_compras","","","","test_ContinuarComprandoKOKO",""
"passed","Fri Jul 04 12:26:01 UTC 2025","Fri Jul 04 12:27:54 UTC 2025","112938","tests","test_grupo1_compras","","","","test_PruebadeCompraTMG",""
"passed","Fri Jul 04 12:30:19 UTC 2025","Fri Jul 04 12:31:01 UTC 2025","42349","tests","test_grupo1_compras","","","","test_EliminarItemdeCarritoKOKO",""
"passed","Fri Jul 04 12:52:50 UTC 2025","Fri Jul 04 12:53:06 UTC 2025","16117","tests","test_grupo2_funcionales","","","","test_de_paginaprivada_koko",""
"passed","Fri Jul 04 13:00:43 UTC 2025","Fri Jul 04 13:00:56 UTC 2025","13883","tests","test_grupo2_funcionales","","","","test_de_autodeteccionidiomakoko[pt-https://www.kokogenetics.com/pt]",""
